unit,hate-label
barrenness,0
barrier,0
barring,1
barrister,1
barse,1
barstooler,1
bas bleu,1
basal,1
basbleu,1
base,1
baseless,0
baseness,1
bash,1
bashful,1
bashing,1
bastard,1
bastardly,1
bathetic,1
bathos,0
bathroom,1
batrachan,1
batrachian,1
batshit,1
batshit crazy,0
batshittery,1
batter,0
battered,0
battle,0
battleground,0
battling,0
battner,1
batty,0
bawd,1
bawds,1
bawdy-house,1
bawdyhouse,1
bawdyhouses,1
bawl,0
bay,1
bazonga,1
bdellatomy,1
be green with envy,0
be intimate,1
be the butt of the joke,0
be with your own people,0
bean,1
beanbrain,1
beanbreath,1
beaner,1
beanqueen,0
bearshit,1
beast,1
beastly,1
beat,0
beat it,1
beat off,0
beaten,0
beatie,1
beau,1
beave,1
becalm,0
bed,1
bedbug,1
bedbugs,1
bedevil,1
bedicked,1
bedlam,1
bedouin,1
bedouinism,1
bedouins,1
bedraggled,1
bedridden,0
bedu,1
beduin,1
bedwetter,1
beedeas,1
beef,0
beefcow,1
beefer,1
beeves,1
befall,1
befogged,1
befuck,1
befuddle,0
beg,0
begards,1
begathon,1
beggar,1
beggarly,1
beggary,0
beghard,1
beghards,1
beguile,1
beguiled,1
beguilements,1
beguiler,1
beguiles,1
beguiling,1
beguine,1
beguines,1
beguins,1
behavioral signals of lying,1
behead,1
behemoth,1
behind,1
belated,0
beleaguer,0
beleaguered,0
belie,0
belinuropsis,1
belittle,1
belittlement,1
bell hop,1
bell hops,1
bell-boy,1
bell-hop,1
bellboy,1
bellhop,1
bellhops,1
bellicose,0
belligerence,0
belligerent,0
bellman,1
bellyache,1
bellyacher,1
bemoan,0
bemuse,0
bemused,0
bemusement,0
bendouin,1
benighted,0
bent,1
benumb,0
berate,0
bereaved,0
bereft,0
berserk,0
beset,0
besetting,0
besiege,0
besmirch,1
besot,1
besotted,0
bessara,1
besserwisser,1
bestial,1
bestiality,0
betake,0
betise,1
betray,0
betrayal,1
betrayer,0
better keep your mouth shut,0
bewail,0
beware,0
bewilder,0
bewildered,0
bewildering,1
bewilderment,0
bewitch,0
beyotch,0
bias,0
biased,0
biblethumping,1
bicho,1
bicker,0
bickering,0
bigget,1
bigheaded,1
biglang yaman,1
bigot,1
bigoted,1
bigotry,1
bigots,1
bile,1
bilious,1
bilking,0
billy,1
billy-goat,1
billygoat,1
bimbette,1
bimbo,1
bind,0
bindle stiff,1
binge,1
biopsychiatry,1
biostitute,1
biotroph,1
biotruth,1
bird,0
birdness,1
birds,1
birds of a feather,0
birdshit,1
birin,1
biryonim,1
bison,1
bisons,1
biston,0
bitch,1
bitch-slap,1
bitchface,1
bitchiness,1
bitchlet,1
bitchload,1
bitchwad,1
bitchy,1
bitchzilla,1
bite,0
biting,0
bitser,1
bitter,0
bitterness,0
bittersweet,1
bitty,1
bizarre,0
bizarreness,0
bizarro,0
bizzie,1
blab,1
blabber,1
blabbermouth,1
black,1
black-african,1
black-africans,1
black-beetle,1
black-legged,1
black-legger,1
black-leggers,1
black-legging,1
black-orange,1
black-oranges,1
blackamoor,1
blackball,1
blackballed,1
blackballing,1
blacken,0
blackeness,1
blackest,1
blackguard,1
blackish orange,1
blackish oranges,1
blackish-orange,1
blackish-oranges,1
blackishly,1
blackishness,1
blackishorange,1
blackishoranges,1
blackleg,1
blacklegged,1
blacklegger,1
blackleggers,1
blacklegging,1
blackly,1
blackmail,0
blackmailed,1
blackmailer,1
blackmailing,1
blackmails,1
blackness,0
blackorange,1
blackoranges,1
blackout,0
blacky,1
blame,1
blameworthy,0
bland,0
blandness,0
blandscape,1
blank,0
blaspheme,1
blasphemer,1
blasphemous,1
blasphemy,1
blast,0
blasted,0
blatant,1
blather,1
blattaria,1
blattodea,1
blaze,1
bleak,0
bleakness,0
blear,0
bleat,0
bleed,0
bleeding,0
blemish,0
blerd,1
blesh,0
blether,1
blight,1
blighted,0
blind,0
blind fool,1
blind sheep,1
blinding,1
blindness,0
blindside,0
blinkered,0
blister,1
blistering,1
blither,0
blizzard,0
blk ppl,1
bloat,0
bloated,0
blockhead,1
blocky,0
blood,1
blood-hound,1
bloodbath,0
blooded,1
bloodhound,1
bloodhounds,1
bloodless,1
bloodletting,1
bloodlust,1
bloodshed,0
bloodsucker,1
bloodthirsty,1
bloomer,0
blooper,1
bloopers,1
bloviate,0
blow,0
blow off,0
blowbang,1
blowhard,1
blubbo,1
bludgeon,0
bludgeoning,1
blue waffle,1
bluehair,1
bluestocking,1
bluff,0
blunder,0
blunderer,1
blundering,1
blunt,0
bluntness,0
blur,0
blurry,1
blurt,0
blush,0
bluster,0
blustering,1
boaster,1
boastful,1
boastfulness,1
bobar,1
bobbar,1
bobble,1
boche,1
bock bock,1
bodge,1
body axis,1
body packer,1
body packing,1
body snatchers,1
body snatching,1
body stuffing,1
body-snatcher,1
body-snatching,1
bodylice,1
bodylouse,1
bodypacker,1
bodysnatching,1
boff,1
bog,1
bogan,1
boggle,0
bogie,0
bograt,1
bogus,1
bohemian,1
bohunk,1
boisterous,1
bollacks,0
bollix,1
bollock,1
bollocking,1
bollocks,1
bollocks.,1
bollocky,1
bollox,1
bolox,1
bolshie,1
bolsofans,1
bolster,0
bolstering,0
bolt,1
bombard,0
bombardment,0
bombast,1
bombastic,0
bonce,1
bondage,0
bonehead,1
boner,1
bonerfied,1
bonk,1
bonkers,1
boo-boo,0
boob,1
booby,1
boofhead,0
boofheaded,1
booger,1
book-louse,1
bookkeeper,1
bookworm,1
boor,1
boorish,0
boorishness,1
bootlicker,1
booty,1
bootyhole,1
bordello,1
bordem,1
bordom,1
bore,0
bored,1
boredom,1
boredomness,1
borgeois,1
borgeoisie,1
boring,1
boringly,1
boringness,1
bork,1
born with a silver spoon in,0
bos americanus,1
bos primigenius taurus,1
bos taurus,0
boss,1
bossiness,1
bossy,0
botch,1
botched,0
botcher,1
bother,0
bothersome,0
bothridia,1
bothridium,1
bottom,1
bottomless,0
bougie,0
bound to death,0
bounder,1
bourgeois,0
bourgeoise,1
bourgeoisie,1
bourgeoisification,1
bourgeoisified,1
bourgeoisifies,1
bourgeoisify,1
bourgeoisifying,1
bourgeosie,1
bourgie,1
bourgoisie,1
bout,0
bow-wow,1
bowdlerize,0
boy crazier,1
boy craziest,1
boy crazily,1
boy crazy,1
boy-crazier,1
boy-craziest,1
boy-crazily,1
boy-craziness,1
boycott,1
boycrazier,1
boycraziest,1
boycrazily,1
boycraziness,1
bozo,1
brace,0
brag,1
braggadocio,1
braggart,0
bragger,1
brain damage,1
"brain damage, chronic",1
brain damaged,1
brain shrinkage,1
brain-damage,1
brain-damaged,1
brainfuck,0
brainiac,1
brainless,1
brainlesss,0
brainwash,0
brandwash,1
brant,1
branta hrota,1
brash,1
brashness,0
brassica camperstris,1
brassica campestris,1
brassica oleraca,1
brassica oleracea,1
brassica rapa,1
brassica septiceps,1
brat,0
bratty,1
bravado,0
brawl,1
brawler,0
bray,1
braying,1
brazen,1
brazenness,0
breach,0
break,0
break the strike,1
breakable,1
breakdown,0
breaking,0
breaking laws,1
breaking my balls,0
breaking the law,0
breakoff,1
breakup,0
breathless,0
breeding,0
breeze through,0
brent,1
bribable,1
bribe,0
bribe sucker,0
bribery,0
briefless,0
brigand,1
brigandage,1
brigandi,1
brigandry,1
brigands,1
bringdown,1
bristle,0
bristling,1
brittle,0
broad beans,1
broad-bean,1
broke,0
broken,1
broker,1
brokering,1
brokers,1
broking,1
bronchoprovocation,1
brood,0
brooding,0
brothel,1
brothel-keeper,1
brothels,1
brotherfucker,1
brotherfucking,1
browbeat,0
brown,1
brownest,1
browneye,1
brownish,0
brownishly,1
brownishness,1
brownly,1
brownness,1
bruise,0
bruising,0
brusque,0
brutal,1
brutalise,0
brutality,1
brute,1
brutish,1
buccal organ,1
buccal organs,1
buccaneer-americans,1
buck ofama,1
buck-goat,1
buckra,1
bucolic,1
budge,0
buffalo,1
buffin' the muffin,0
buffoon,1
buffoonery,1
buffoons,0
bufo,1
bug,0
bugfucker,1
bugger,1
buggerhead,1
buggering,1
buggery,1
bugging,1
buggy,0
bulgarian,1
bulgarians,1
bulimic,1
buljasi,1
bulk,1
bulky,0
bull,1
bullcrap,1
bulldagger,1
bullish,0
bullock,1
